"ticker","company_name","listing_date","listing_year","active_status","idx_ic_sector","listing_before_cutoff"
"AREA","Dunia Virtual Online Tbk","2024-04-01","2024","Active","Technology","0"
"ATIC","Anabatic Technologies Tbk","2015-07-08","2015","Active","Technology","1"
"AWAN","Era Digital Media Tbk","2023-04-18","2023","Active","Technology","0"
"AXIO","Tera Data Indonusa Tbk","2022-07-20","2022","Active","Technology","0"
"BALI","Bali Towerindo Sentra Tbk","2014-03-13","2014","Active","Telecommunication","1"
"BELI","Global Digital Niaga Tbk","2022-11-08","2022","Active","Technology","0"
"BTEL","Bakrie Telecom Tbk","2006-02-03","2006","Active","Telecommunication","1"
"BUKA","Bukalapak.com Tbk","2021-08-06","2021","Active","Technology","0"
"CASH","Cashlez Worldwide Indonesia Tbk","2020-05-04","2020","Active","Technology","0"
"CENT","Centratama Telekomunikasi Indonesia Tbk","2001-11-01","2001","Active","Telecommunication","1"
"CHIP","Pelita Teknologi Global Tbk","2023-02-08","2023","Active","Technology","0"
"CYBR","ITSEC Asia Tbk","2023-08-08","2023","Active","Technology","0"
"DATA","Remala Abadi Tbk","2024-05-07","2024","Active","Telecommunication","0"
"DCII","DCI Indonesia Tbk","2021-01-06","2021","Active","Technology","0"
"DIVA","Distribusi Voucher Nusantara Tbk","2018-11-27","2018","Active","Technology","1"
"DMMX","Digital Mediatama Maxima Tbk","2019-10-21","2019","Active","Technology","0"
"EDGE","Indointernet Tbk","2021-02-08","2021","Active","Technology","0"
"ELIT","Data Sinergitama Jaya Tbk","2023-01-06","2023","Active","Technology","0"
"ENVY","Envy Technologies Indonesia Tbk","2019-07-08","2019","Active","Technology","0"
"EXCL","XL Axiata Tbk","2005-09-29","2005","Active","Telecommunication","1"
"FREN","Smartfren Telecom Tbk","2006-11-29","2006","Active","Telecommunication","1"
"GHON","Gihon Telekomunikasi Indonesia Tbk","2018-04-09","2018","Active","Telecommunication","1"
"GLVA","Galva Technologies Tbk","2019-12-23","2019","Active","Technology","0"
"GOTO","GoTo Gojek Tokopedia Tbk","2022-04-11","2022","Active","Technology","0"
"HDIT","Hensel Davest Indonesia Tbk","2019-07-12","2019","Active","Technology","0"
"IBST","Inti Bangun Sejahtera Tbk","2012-08-31","2012","Active","Telecommunication","1"
"INET","Sinergi Inti Andalan Prima Tbk","2023-07-24","2023","Active","Telecommunication","0"
"IOTF","Sumber Sinergi Makmur Tbk","2023-10-06","2023","Active","Technology","0"
"IRSX","Folago Global Nusantara Tbk","2023-02-07","2023","Active","Technology","0"
"ISAT","Indosat Tbk","1994-10-19","1994","Active","Telecommunication","1"
"JAST","Jasnita Telekomindo Tbk","2019-05-16","2019","Active","Telecommunication","0"
"JATI","Informasi Teknologi Indonesia Tbk","2023-05-08","2023","Active","Technology","0"
"KBLV","First Media Tbk","2000-02-25","2000","Active","Telecommunication","1"
"KETR","Ketrosden Triasmitra Tbk","2022-11-10","2022","Active","Telecommunication","0"
"KIOS","Kioson Komersial Indonesia Tbk","2017-10-05","2017","Active","Technology","1"
"LCKM","LCK Global Kedaton Tbk","2018-01-16","2018","Active","Telecommunication","1"
"LINK","Link Net Tbk","2014-06-02","2014","Active","Telecommunication","1"
"LMAS","Limas Indonesia Makmur Tbk","2001-12-28","2001","Active","Technology","1"
"LUCK","Sentral Mitra Informatika Tbk","2018-11-28","2018","Active","Technology","1"
"MCAS","M Cash Integrasi Tbk","2017-11-01","2017","Active","Technology","1"
"MENN","Menn Teknologi Indonesia Tbk","2023-04-18","2023","Active","Technology","0"
"MLPT","Multipolar Technology Tbk","2013-07-08","2013","Active","Technology","1"
"MORA","Mora Telematika Indonesia Tbk","2022-08-08","2022","Active","Telecommunication","0"
"MPIX","Mitra Pedagang Indonesia Tbk","2024-02-07","2024","Active","Technology","0"
"MSTI","Mastersystem Infotama Tbk","2023-11-08","2023","Active","Technology","0"
"MTDL","Metrodata Electronics Tbk","1990-04-09","1990","Active","Technology","1"
"MTEL","Dayamitra Telekomunikasi Tbk","2021-11-22","2021","Active","Telecommunication","0"
"NFCX","NFC Indonesia Tbk","2018-07-12","2018","Active","Technology","1"
"NINE","Techno9 Indonesia Tbk","2022-12-05","2022","Active","Technology","0"
"OASA","Maharaksa Biru Energi Tbk","2016-07-18","2016","Active","Telecommunication","1"
"PGJO","Tourindo Guide Indonesia Tbk","2020-01-08","2020","Active","Technology","0"
"PTSN","Sat Nusapersada Tbk","2007-11-08","2007","Active","Technology","1"
"RUNS","Global Sukses Solusi Tbk","2021-09-08","2021","Active","Technology","0"
"SKYB","Northcliff Citranusa Indonesia Tbk","2010-07-07","2010","Active","Technology","1"
"SUPR","Solusi Tunas Pratama Tbk","2011-10-11","2011","Active","Telecommunication","1"
"TBIG","Tower Bersama Infrastructure Tbk","2010-10-26","2010","Active","Telecommunication","1"
"TECH","Indosterling Technomedia Tbk","2020-06-04","2020","Active","Technology","0"
"TLKM","Telkom Indonesia (Persero) Tbk","1995-11-14","1995","Active","Telecommunication","1"
"TOSK","Topindo Solusi Komunika Tbk","2024-02-07","2024","Active","Technology","0"
"TOWR","Sarana Menara Nusantara Tbk","2010-03-08","2010","Active","Telecommunication","1"
"TRON","Teknologi Karya Digital Nusa Tbk","2023-03-08","2023","Active","Technology","0"
"UVCR","Trimegah Karya Pratama Tbk","2021-07-27","2021","Active","Technology","0"
"WGSH","Wira Global Solusi Tbk","2021-12-06","2021","Active","Technology","0"
"WIFI","Solusi Sinergi Digital Tbk","2020-12-30","2020","Active","Technology","0"
"WIRG","WIR ASIA Tbk","2022-04-04","2022","Active","Technology","0"
"ZYRX","Zyrexindo Mandiri Buana Tbk","2021-03-30","2021","Active","Technology","0"
