ticker,company_name,listing_date,active_status,idx_ic_sector
AWAN,Era Digital Media Tbk,2023-04-18,Active,Technology
BELI,Global Digital Niaga Tbk,2022-11-08,Active,Technology
BUKA,Bukalapak.com Tbk,2021-08-06,Active,Technology
CASH,Cashlez Worldwide Indonesia Tbk,2020-05-04,Active,Technology
DIVA,Distribusi Voucher Nusantara Tbk,2018-11-27,Active,Technology
EDGE,Indointernet Tbk,2021-02-08,Active,Technology
GOTO,GoTo Gojek Tokopedia Tbk,2022-04-11,Active,Technology
HDIT,Hensel Davest Indonesia Tbk,2019-07-12,Active,Technology
JATI,Informasi Teknologi Indonesia Tbk,2023-05-08,Active,Technology
KIOS,Kioson Komersial Indonesia Tbk,2017-10-05,Active,Technology
MCAS,M Cash Integrasi Tbk,2017-11-01,Active,Technology
MPIX,Mitra Pedagang Indonesia Tbk,2024-02-07,Active,Technology
NFCX,NFC Indonesia Tbk,2018-07-12,Active,Technology
PGJO,Tourindo Guide Indonesia Tbk,2020-01-08,Active,Technology
TOSK,Topindo Solusi Komunika Tbk,2024-02-07,Active,Technology
UVCR,Trimegah Karya Pratama Tbk,2021-07-27,Active,Technology
WIFI,Solusi Sinergi Digital Tbk,2020-12-30,Active,Technology
AREA,Dunia Virtual Online Tbk,2024-04-01,Active,Technology
ATIC,Anabatic Technologies Tbk,2015-07-08,Active,Technology
CYBR,ITSEC Asia Tbk,2023-08-08,Active,Technology
DCII,DCI Indonesia Tbk,2021-01-06,Active,Technology
DMMX,Digital Mediatama Maxima Tbk,2019-10-21,Active,Technology
ELIT,Data Sinergitama Jaya Tbk,2023-01-06,Active,Technology
ENVY,Envy Technologies Indonesia Tbk,2019-07-08,Active,Technology
LMAS,Limas Indonesia Makmur Tbk,2001-12-28,Active,Technology
MLPT,Multipolar Technology Tbk,2013-07-08,Active,Technology
TECH,Indosterling Technomedia Tbk,2020-06-04,Active,Technology
IRSX,Folago Global Nusantara Tbk,2023-02-07,Active,Technology
RUNS,Global Sukses Solusi Tbk,2021-09-08,Active,Technology
SKYB,Northcliff Citranusa Indonesia Tbk,2010-07-07,Active,Technology
TRON,Teknologi Karya Digital Nusa Tbk,2023-03-08,Active,Technology
WGSH,Wira Global Solusi Tbk,2021-12-06,Active,Technology
WIRG,WIR ASIA Tbk,2022-04-04,Active,Technology
MSTI,Mastersystem Infotama Tbk,2023-11-08,Active,Technology
PTSN,Sat Nusapersada Tbk,2007-11-08,Active,Technology
AXIO,Tera Data Indonusa Tbk,2022-07-20,Active,Technology
LUCK,Sentral Mitra Informatika Tbk,2018-11-28,Active,Technology
MTDL,Metrodata Electronics Tbk,1990-04-09,Active,Technology
NINE,Techno9 Indonesia Tbk,2022-12-05,Active,Technology
ZYRX,Zyrexindo Mandiri Buana Tbk,2021-03-30,Active,Technology
CHIP,Pelita Teknologi Global Tbk,2023-02-08,Active,Technology
GLVA,Galva Technologies Tbk,2019-12-23,Active,Technology
IOTF,Sumber Sinergi Makmur Tbk,2023-10-06,Active,Technology
MENN,Menn Teknologi Indonesia Tbk,2023-04-18,Active,Technology
DATA,Remala Abadi Tbk,2024-05-07,Active,Telecommunication
INET,Sinergi Inti Andalan Prima Tbk,2023-07-24,Active,Telecommunication
JAST,Jasnita Telekomindo Tbk,2019-05-16,Active,Telecommunication
KBLV,First Media Tbk,2000-02-25,Active,Telecommunication
KETR,Ketrosden Triasmitra Tbk,2022-11-10,Active,Telecommunication
LINK,Link Net Tbk,2014-06-02,Active,Telecommunication
MORA,Mora Telematika Indonesia Tbk,2022-08-08,Active,Telecommunication
TLKM,Telkom Indonesia (Persero) Tbk,1995-11-14,Active,Telecommunication
BALI,Bali Towerindo Sentra Tbk,2014-03-13,Active,Telecommunication
BTEL,Bakrie Telecom Tbk,2006-02-03,Active,Telecommunication
CENT,Centratama Telekomunikasi Indonesia Tbk,2001-11-01,Active,Telecommunication
EXCL,XL Axiata Tbk,2005-09-29,Active,Telecommunication
FREN,Smartfren Telecom Tbk,2006-11-29,Active,Telecommunication
GHON,Gihon Telekomunikasi Indonesia Tbk,2018-04-09,Active,Telecommunication
IBST,Inti Bangun Sejahtera Tbk,2012-08-31,Active,Telecommunication
ISAT,Indosat Tbk,1994-10-19,Active,Telecommunication
LCKM,LCK Global Kedaton Tbk,2018-01-16,Active,Telecommunication
MTEL,Dayamitra Telekomunikasi Tbk,2021-11-22,Active,Telecommunication
OASA,Maharaksa Biru Energi Tbk,2016-07-18,Active,Telecommunication
SUPR,Solusi Tunas Pratama Tbk,2011-10-11,Active,Telecommunication
TBIG,Tower Bersama Infrastructure Tbk,2010-10-26,Active,Telecommunication
TOWR,Sarana Menara Nusantara Tbk,2010-03-08,Active,Telecommunication
