"firm_id","ticker","company_name","year","fs_pdf_path","ar_pdf_path","price_csv_path","fs_downloaded","ar_downloaded","price_downloaded","extraction_done","notes"
"MTDL","MTDL","Metrodata Electronics Tbk","2019",".\data\raw\MTDL_2019_FS.pdf",".\data\annual_reports\MTDL_2019_AR.pdf",".\data\prices\prices_MTDL.JK.csv","","","","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2022",".\data\raw\LMAS_2022_FS.pdf",".\data\annual_reports\LMAS_2022_AR.pdf",".\data\prices\prices_LMAS.JK.csv","","","","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2025",".\data\raw\PTSN_2025_FS.pdf",".\data\annual_reports\PTSN_2025_AR.pdf",".\data\prices\prices_PTSN.JK.csv","","","","",""
"MLPT","MLPT","Multipolar Technology Tbk","2021",".\data\raw\MLPT_2021_FS.pdf",".\data\annual_reports\MLPT_2021_AR.pdf",".\data\prices\prices_MLPT.JK.csv","","","","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2024",".\data\raw\ATIC_2024_FS.pdf",".\data\annual_reports\ATIC_2024_AR.pdf",".\data\prices\prices_ATIC.JK.csv","","","","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2020",".\data\raw\MCAS_2020_FS.pdf",".\data\annual_reports\MCAS_2020_AR.pdf",".\data\prices\prices_MCAS.JK.csv","","","","",""
"NFCX","NFCX","NFC Indonesia Tbk","2023",".\data\raw\NFCX_2023_FS.pdf",".\data\annual_reports\NFCX_2023_AR.pdf",".\data\prices\prices_NFCX.JK.csv","","","","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2019",".\data\raw\LUCK_2019_FS.pdf",".\data\annual_reports\LUCK_2019_AR.pdf",".\data\prices\prices_LUCK.JK.csv","","","","",""
"ISAT","ISAT","Indosat Tbk","2022",".\data\raw\ISAT_2022_FS.pdf",".\data\annual_reports\ISAT_2022_AR.pdf",".\data\prices\prices_ISAT.JK.csv","","","","",""
"TLKM","TLKM","Telkom Indonesia (Persero) Tbk","2025",".\data\raw\TLKM_2025_FS.pdf",".\data\annual_reports\TLKM_2025_AR.pdf",".\data\prices\prices_TLKM.JK.csv","","","","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2021",".\data\raw\CENT_2021_FS.pdf",".\data\annual_reports\CENT_2021_AR.pdf",".\data\prices\prices_CENT.JK.csv","","","","",""
"EXCL","EXCL","XL Axiata Tbk","2024",".\data\raw\EXCL_2024_FS.pdf",".\data\annual_reports\EXCL_2024_AR.pdf",".\data\prices\prices_EXCL.JK.csv","","","","",""
"FREN","FREN","Smartfren Telecom Tbk","2020",".\data\raw\FREN_2020_FS.pdf",".\data\annual_reports\FREN_2020_AR.pdf",".\data\prices\prices_FREN.JK.csv","","","","",""
"TOWR","TOWR","Sarana Menara Nusantara Tbk","2023",".\data\raw\TOWR_2023_FS.pdf",".\data\annual_reports\TOWR_2023_AR.pdf",".\data\prices\prices_TOWR.JK.csv","","","","",""
"SUPR","SUPR","Solusi Tunas Pratama Tbk","2019",".\data\raw\SUPR_2019_FS.pdf",".\data\annual_reports\SUPR_2019_AR.pdf",".\data\prices\prices_SUPR.JK.csv","","","","",""
"IBST","IBST","Inti Bangun Sejahtera Tbk","2022",".\data\raw\IBST_2022_FS.pdf",".\data\annual_reports\IBST_2022_AR.pdf",".\data\prices\prices_IBST.JK.csv","","","","",""
"BALI","BALI","Bali Towerindo Sentra Tbk","2025",".\data\raw\BALI_2025_FS.pdf",".\data\annual_reports\BALI_2025_AR.pdf",".\data\prices\prices_BALI.JK.csv","","","","",""
"OASA","OASA","Maharaksa Biru Energi Tbk","2021",".\data\raw\OASA_2021_FS.pdf",".\data\annual_reports\OASA_2021_AR.pdf",".\data\prices\prices_OASA.JK.csv","","","","",""
"LCKM","LCKM","LCK Global Kedaton Tbk","2024",".\data\raw\LCKM_2024_FS.pdf",".\data\annual_reports\LCKM_2024_AR.pdf",".\data\prices\prices_LCKM.JK.csv","","","","",""
